ccaa;gender;diputado;grupo;partido;provincia;legislatura;cargo;handle;;twitter account;;Partido gobierno autonomico;gobierno_auto;gobierno_central;
EXT;0;Albarrán Cuenda, Lorenzo ;Popular ;PP; BADAJOZ;IX;;;;L_AlbarranC;;PSOE-SIEX;0;1;
EXT;1;Alberdi Nieves, Virginia ;Popular ;PP; CÁCERES;IX;;;;VirginiaAlberdi;;PSOE-SIEX;0;1;
EXT;0;Amado Borrella, Jorge ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;jorgeamadob;;PSOE-SIEX;1;0;
EXT;0;Ayala Vicente, Fernando ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;fafayala;;PSOE-SIEX;1;0;
EXT;1;Barquero Mariscal, María Isabel ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;mibarquerom;;PSOE-SIEX;1;0;
EXT;1;Becerra Martínez, María Dolores ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;lola_becerra ‏;;PSOE-SIEX;1;0;
EXT;0;Béjar Martín, Eduardo ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;EduardoBejar;;PSOE-SIEX;1;0;
EXT;1;Camacho Soriano, María de los Ángeles ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;;;PSOE-SIEX;1;0;
EXT;0;Cantero Calvo, Miguel ;Popular ;PP; CÁCERES;IX;;;;cantero_miguel;;PSOE-SIEX;0;1;
EXT;1;Carmona López, Magdalena ;Popular ;PP; BADAJOZ;IX;;;;ClMagdalena;;PSOE-SIEX;0;1;
EXT;1;Cepeda Bravo, María Felisa ;Popular ;PP; CÁCERES;IX;;;;felisa_cepeda;;PSOE-SIEX;0;1;
EXT;1;Chamorro Serrano, Rosa Ana ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;;;PSOE-SIEX;1;0;
EXT;1;Correa Zamora, María Auxiliadora ;Popular ;PP; BADAJOZ;IX;;;;;;PSOE-SIEX;0;1;
EXT;1;Cortés Luna, Gema María ;Popular ;PP; BADAJOZ;IX;;;;Gema_Cortes;;PSOE-SIEX;0;1;
EXT;1;Domínguez Paredes, María Victoria ;Mixto;Agrupación Ciudadanos Partido de la Ciudadanía; CÁCERES;IX;Portavoz;;;VictoriaCsPla;;PSOE-SIEX;0;0;
EXT;0;Echávarri Lomo, José Antonio ;Popular ;PP; CÁCERES;IX;;;;;;PSOE-SIEX;0;1;
EXT;1;Fernández González, Ana Belén ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;anabelenfergon;;PSOE-SIEX;1;0;
EXT;0;Fernández Vara, Guillermo ;Socialista ;PSOE-SIEX; BADAJOZ;IX;Líder de la mayoría;;;GFVara;;PSOE-SIEX;1;0;
EXT;0;García Blázquez, Francisco Manuel ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;BlazquezPaco;;PSOE-SIEX;1;0;
EXT;0;García Gómez, Valentín ;Socialista ;PSOE-SIEX; BADAJOZ;IX;Portavoz;;;valentingarciag;;PSOE-SIEX;1;0;
EXT;1;Garlito Batalla, Lara ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;LaraGarlito;;PSOE-SIEX;1;0;
EXT;1;Godoy Tena, María Ascensión ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;AscenGT;;PSOE-SIEX;1;0;
EXT;0;González Gracia, Juan Antonio ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;JAGonzalez_78;;PSOE-SIEX;1;0;
