id;gender;nombre;nombre;Apellido1;Apellido2;handle;desc;Partido;gobierno_central;gobierno_auto
1;0;Victor Píriz Maya;Victor;Píriz;Maya;vicpiriz1975;Padre, economista, maratoniano, madridista, Extremeño y ahora Diputado en Madrid. Defensor de la custodia compartida. #I+D+i #Europa #PP             ;PP;1;0
2;0;Celso Delgado Arce;Celso;Delgado;Arce;CelsoDelgadoOU;Diputado Nacional del @PPopular en @Congreso_Es por Ourense en XII Legislatura. Abogado.             ;PP;1;0
3;1;Rocio de Frutos;Rocio;de;Frutos;RociodeFrutos;Inspectora de Trabajo desde hace 25 años. Toda mi vida luchando por los derechos de los trabajadores. Diputada del PSdeG-PSOE por Ourense en el Congreso.             ;PSOE;0;0
4;0;Miguel Lorenzo;Miguel;Lorenzo;;MLorenzo2017;Diputado del PP en el Congreso de los Diputados por A Coruña. Represento a mis vecinos en el Ayuntamiento, y ahora también llevaré su voz a Madrid. Abogado.             ;PP;1;0
5;1;Marta Rivera;Marta;Rivera;;CiudadanaMartaR;Diputada en Cortes por Ciudadanos. Portavoz de Cultura en la Ejecutiva Nacional. Presidenta de la Comisión de Cultura en el Congreso. Mucho por hacer.             ;Cs;0;0
6;0;M. Monereo;M.;Monereo;;ManoloMonereo;Andaluz nacido en Jaén. Comunista. Diputado de Unid@s Podemos por Córdoba. Haciendo posible lo imposible.             ;Ps;0;0
7;1;Meritxell Batet;Meritxell;Batet;;AmbBatet;Perfil de Meritxell Batet, diputada del Grup Socialista al Congrés. Secretària d'Impuls Federal del PSC. Gestionat pel seu equip.             ;PSOE;0;0
8;0;Jorge Fernández Díaz;Jorge;Fernández;Díaz;JorgeFdezDiaz;Partido Popular de Catalunya             ;PP;1;0
9;1;Irene Garrido;Irene;Garrido;;garridoirene1;Secretaria de Estado de Economía y Apoyo a la Empresa. Ministerio de Economía, Industria y Competitividad. Cuenta oficial             ;PP;1;0
10;0;Eduardo Fernández;Eduardo;Fernández;;Eduardo_Fdez_;Diputado Nacional y Presidente del PP de León @populares_Leon. Abogado, grado en Ciencias Políticas y en Geografía e Historia             ;PP;1;0
11;1;TeresadeLara;TeresadeLara;;;TeresadeLara;Química.Diputada del Grupo Popular en el Congreso por Madrid. Portavoz de Medio Ambiente. Defendiendo la unidad de España             ;PP;1;0
12;0;Eduardo Santos Itoiz;Eduardo;Santos;Itoiz;ESantosItoiz;Diputado de @ahorapodemos por Navarra-Nafarroa. Abogado y mediador. Kongresuan Barne eta Justizia Batzordeen kidea.             ;Ps;0;0
13;1;carmen valido  ✋🏼;carmen;valido; ✋🏼;carmen_valido;Diputada del Congreso por Las Palmas.             ;Ps;0;0
14;1;Carolina España;Carolina;España;;CarolinaEspanaR;Malagueña, madre y economista. Diputada del @PPopular en @congreso_es. Portavoz del Pacto de Toledo             ;PP;1;0
15;1;Carmen G. Guinda;Carmen;González;Guinda;CarmenGGuinda;Diputada nacional por León . Química y profesora. Alcaldesa de Garrafe de Torío y madre de 4 hijos.             ;PP;1;0
16;0;Miguel Ángel Viso;Miguel;Ángel;Viso;Miguel_Viso;Deputado @PPdeOU no Congreso. #CreoenOurense, sus potencialidades y, sobre todo, en una de sus riquezas: el vino             ;PP;1;0
17;0;Juan Pedro Yllanes;Juan;Pedro;Yllanes;jpyllanes;Una passa endavant, no ens podem conformar. Jutge en serveis especials i diputat al @Congreso_Es per @PdmIllesBalears. Mallorquí i sevillista.             ;Ps;0;0
18;0;M. Anxo Fernán Vello;M. Anxo;Fernán;Vello;FernanVello;Deputado no Congreso de @En_Marea Naceu en Cospeito (Terra Chá) Lugo. Escritor. Fundador de Edicións Espiral Maior. Comparte Twitter coa equipa de comunicación.             ;Ps;0;0
19;1;Ana Botella Gómez;Ana;Botella;Gómez;AnaBotellaPSOE;Diputada por Valencia @SocialistesVal en el Congreso.             ;PSOE;0;0
20;0;Rafael Catalá Polo;Rafael;Catalá;Polo;RafaCatalaPolo;Ministro de Justicia. Diputado del @PPopular por #Cuenca. Trabajando en equipo. Firmo RC             ;PP;1;0
21;1;MªCarmen Hdez. Bento;MªCarmen;Hdez.;Bento;HernandezBento;Física( universidad complutense)Profesora.Diputada del @ppopular por la Provincia de Las Palmas en el @Congreso_Es             ;PP;1;0
22;0;Pedro Arrojo;Pedro;Arrojo;;PericoArrojo;Profesor, ecologista, ciudadano del mundo y abuelo. Ahora, diputado electo al Congreso por Zaragoza con Podemos. Con la política en la calle, siempre.             ;Ps;0;0
23;0;M Ángel Bustamante;M;Ángel;Bustamante;ma_bustamante84;Diputado por Sevilla en el Congreso de Unidos Podemos. Defendiendo los intereses de la clase trabajadora. Militante de @elpce e @iunida             ;Ps;0;0
24;0;Tomás Burgos Gallego;Tomás;Burgos;Gallego;TomasBurgosVa;Tengo el honor de encabezar la Candidatura del Partido Popular al Congreso de los Diputados por Valladolid, mi provincia.             ;PP;1;0
25;0;Mikel Legarda;Mikel;Legarda;;MikelLegarda;             ;EAJ-PNV;0;0
26;1;MatildeAsianGonzalez;MatildeAsianGonzalez;;;MatildeAsian;Secretaria de Estado de Turismo             ;PP;1;0
27;1;Amparo Botejara;Amparo;Botejara;;AmparoBotejara;Médico de familia. Diputada de @ahorapodemos en el Congreso por #Badajoz.             ;Ps;0;0
28;1;CarmenNavarroLacoba;CarmenNavarroLacoba;;;CnLacoba;Diputada nacional del Partido Popular por la provincia de Albacete. Letrada autonómica. Madre de dos hijos.             ;PP;1;0
29;0;José Ramón Gª-Hdez;José;Ramón;Gª-Hdez;JoseRa_Ghdez;Diputado Nacional por Ávila en el @Congreso_Es y Secretario ejecutivo de Relaciones Internacionales del Partido Popular.             ;PP;1;0
30;0;Leopoldo Barreda;Leopoldo;Barreda;;lbarredaPP;Abogado, padre de cuatro hijos y Diputado del PP por Vizcaya.#EspañaEnSerio             ;PP;1;0
31;1;María Eugenia Romero;María Eugenia;Romero;;Mariueugene;Licenciada Derecho. Master Asesoría Jurídica. Diputada Nacional por Sevilla X y XI Legislatura             ;PP;1;0
32;0;SalvadorDeLaEncina;SalvadorDeLaEncina;;;encinasalvador1;             ;PSOE;0;0
33;0;Artemi Rallo;Artemi;Rallo;;RalloArtemi;             ;PSOE;0;0
34;0;Fernando Navarro;Fernando;Navarro;;CsFernavarro;Diputado en Cortes por C's. Islas Baleares             ;Cs;0;0
35;1;María Aurora Flórez;María;Aurora;Flórez;M_Aurora_Florez;"Diputada nacional por León. Portavoz Comisión mixta para el estudio de las drogas. Miembro de la Ponencia ""Menores sin alcohol"".             ";PSOE;0;0
36;1;Sandra Julia;Sandra;Julia;;MSandraJulia;Diputada de @CiudadanosCs en @Congreso_es. Subdelegada Territorial en Castellón. Concejal Ayuntamiento de Moncofa. Imposible es solo una opinion (C's)             ;Cs;0;0
37;0;Sergio del Campo;Sergio;del;Campo;sdelcampocs;Diputado de @CiudadanosCs en el @Congreso_Es por Tarragona. Portavoz Comisión de Empleo y Seguridad Social. Subinspector Laboral de Empleo y SS (ITSS)             ;Cs;0;0
38;1;Ascension Carreño;Ascension;Carreño;;Carre1Ascension;Diputada en el Congreso por el PP.Ingeniera de Obras Públicas y Civil. Arquitecto técnico y estudios de piano. Luchando por mejorar las cosas, la mejor melodía.             ;PP;1;0
39;1;Sofía Castañón;Sofía;Castañón;;SofCastanon;Con los ojos atentos y las palabras a mano. Secretaria de Feminismos Interseccional y LGTBI en @ahorapodemos. Diputada por Asturies en el Congreso.             ;Ps;0;0
40;1;Marta González;Marta;González;;MartaGlezVzqz;Medievalista de formación y vocación, Diputada por A Coruña en el Congreso. Portavoz Adjunta del GPPopular. De Santiago de Compostela #ahoramasquenunca             ;PP;1;0
41;0;Jaume Moya i Matas;Jaume;Moya;i Matas;JaumeMoyaM;Procurador d'esquerres, sobiranista, ecologista, incontinent, ruralista, neosegarreta, estepari i aixafaterrossos. Ara, a més, diputat  @EnComu_Podem per Lleida             ;Ps;0;0
42;0;saul ramirez freire;saul;ramirez;freire;saulCiudadanos;             ;Cs;0;0
43;0;Alberto Rodríguez;Alberto;Rodríguez;;Alber_Canarias;Diputado en el Congreso por la provincia de Santa Cruz de Tenerife. @AhoraPodemos. Currela, canario y orgulloso de serlo.             ;Ps;0;0
44;0;Pepe Cano Fuster;Pepe;Cano;Fuster;pepecanonucia;Diputado en Cortes por Cs. cuando los españoles hemos caminado juntos, hemos sido imparables. Imposible, es solo una opinión.             ;Cs;0;0
45;0;Domingo Lorenzo;Domingo;Lorenzo;;Dlorenzo54;nuevo proyecto ilusionante             ;Cs;0;0
46;1;Patricia Reyes;Patricia;Reyes;;PatriciaReyesCs;Madre - Abogada - Diputada de Ciudadanos y Secretaria cuarta de la Mesa del Congreso - Canaria nacida en Madrid - Adoro a Capra y a Marx (Groucho)             ;Cs;0;0
47;1;Loreto Cascales Mart;Loreto;Cascales;Mart;LoraCascales;En este vida no se consigue nada sin esfuerzo y trabajo. Diputada nacional del Partido Popular por la provincia de Alicante.             ;PP;1;0
48;1;Rita Bosaho;Rita;Bosaho;;RitaBosaho;Licenciada en Historia. Diputada de @ahorapodemos en el Congreso  por Alicante             ;Ps;0;0
49;1;Melisa Rodríguez;Melisa;Rodríguez;;mrhciudadanos;Diputada y Portavoz Adjunta en El Congreso de Los Diputados por S/C de Tenerife. Portavoz de C's en Canarias. Facebook http://on.fb.me/1EqYzOX  @cscanarias             ;Cs;0;0
50;1;Teófila Martínez;Teófila;Martínez;;teofila_es;Diputada por Cádiz y Coordinadora del equipo en el Ayuntamiento por el Partido Popular . Bienvenidos a mi cuenta oficial de Twitter.             ;PP;1;0
