;Unnamed: 0;_id;aut;author_gender;created_at;full_text;id_str;in_reply_to_status_id;in_reply_to_tweet;in_reply_to_user_id;is_sexist;msg;person_1;person_2;receiver_gender;retweet_count;sentiment_1;sentiment_2;sexist_1;sexist_2;user_id
0;1430;5a9c74630842190dbf5029b2;1;1;Wed Jan 17 13:13:37 +0000 2018;@oriolamat Pero lo que es incomprensible es que tras haberse comprobado la ineficacia de este medio de transporte, asi como los costes que generan estas lineas ferreas al estado espanyol, aun persistan en construir mas km de lineas.;953616297518141440;;;;;mention;4.0;2.0;0;0;0;0;0;0;906954918665256960
1;20308;5a9934320842191684e707e8;1;1;Tue Jan 16 09:30:17 +0000 2018;@antonipostius De l’autor de “Apoyaré el estatuto que salga del parlamento de Catalunya”...;953197707274878976;953196451022147584;;2381824175;;reply;1.0;2.0;0;0;0;0;0;0;1620761324
2;2763;5a9c74640842190dbf51e08b;1;-1;Wed Feb 14 16:06:11 +0000 2018;Llegiu, en @albertbotran té moltíssima raó! #botranista https://t.co/WO8IkSAnPD;963806587361136640;;;;;mention;1.0;4.0;0;149;0;0;0;0;106494679
3;24021;5a9934320842191684e71669;1;-1;Sun Jan 14 13:53:35 +0000 2018;@DolorsMM @ajterrassa Éste es el cartel que la Xunta de Galicia utilizó para el 25 de noviembre... compara a la mujer con monumentos de la comunidad.... no he visto a nadie de su partido quejarse por esto y tb es de muy mal gusto https://t.co/NpgcgiKZEc;952539190855720960;951883472766939136;;283559538;;reply;2.0;4.0;0;0;0;0;0;0;3010108774
4;16633;5a9c74630842190dbf4ff282;1;-1;Mon Jan 01 01:29:02 +0000 2018;@germanlogro @Saracarrenov Muero por volver a La Rioja... qué magnífica tierra. Que una ha pasado veranos en Villoslada, Nalda y Sorzano, y pasé la prueba del porrón con Haro,Cuzcurrita y Tirgo😊 🍷;947640776850313216;947633242068447233;;2907565485.0;;reply;1.0;2.0;1;0;0;0;0;0;3346916993
5;8110;5a9c74640842190dbf516a50;1;1;Wed Jan 31 15:57:06 +0000 2018;@santia2015 No la llames concertada, llámala chiringuito manejado de forma privada pagado públicamente y no los llames radicales, llámalos aquellos q no piensan como tú.;958730868578816000;958362991786975232;;3026683163.0;;reply;3.0;2.0;1;7;0;0;0;0;842317727415033856
6;24659;5a9934340842191684e83f6d;1;1;Wed Feb 07 10:56:05 +0000 2018;@enricmorera Igual de corruptos...y ademas pancas de 💩;961191831882084352;960868292717174784;;43305240.0;;reply;2.0;3.0;0;0;0;0;0;0;566288506
8;13775;5a9c74630842190dbf4fe758;1;-1;Sun Jan 07 20:32:22 +0000 2018;@GLlamazares Ya lo sabemos lo vuestro es ser amable con la derecha y su CAOs en la  gestión;950102834929913857;950001288732971008;;301388743.0;;reply;4.0;1.0;1;0;0;0;0;0;1445937763
9;9333;5a9c74630842190dbf50d5a8;1;-1;Mon Jan 22 20:44:04 +0000 2018;@MayoralRafa @cocacolaenlucha Gracias a vosotros por estar ahí.Sois el futuro y la esperanza.;955541598414295041;955442597878751233;;1269484171.0;;reply;3.0;1.0;0;3;0;0;0;0;534925971
10;18575;5a9934320842191684e70123;1;1;Tue Jan 09 17:22:06 +0000 2018;@JavierJesparza Insulto a los navarros y a sus instituciones es que alguien como usted sea quién lidere la oposición y haya llegado a ser consejero. Para hacernoslo mirar.;950779727572357120;950724549238280193;;457414881;;reply;2.0;3.0;0;0;0;0;0;0;4828180072
11;33591;5a9c74650842190dbf530233;1;1;Sun Mar 04 14:42:04 +0000 2018;@jcoscu Les seves clases a la facultat eren maravelloses. Descansi en pau;970308400222556160;;;;;mention;4.0;2.0;0;0;0;0;0;0;2476528534
