ccaa;gender;diputado;grupo;partido;provincia;legislatura;cargo;handle;;twitter account;;;
EXT;0;Albarrán Cuenda, Lorenzo ;Popular ;PP; BADAJOZ;IX;;;;L_AlbarranC;;;
EXT;1;Alberdi Nieves, Virginia ;Popular ;PP; CÁCERES;IX;;;;VirginiaAlberdi;;;
EXT;0;Amado Borrella, Jorge ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;jorgeamadob;;;
EXT;0;Ayala Vicente, Fernando ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;fafayala;;;
EXT;1;Barquero Mariscal, María Isabel ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;mibarquerom;;;
EXT;1;Becerra Martínez, María Dolores ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;lola_becerra‏;;;
EXT;0;Béjar Martín, Eduardo ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;EduardoBejar;;;
EXT;1;Camacho Soriano, María de los Ángeles ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;;;;
EXT;0;Cantero Calvo, Miguel ;Popular ;PP; CÁCERES;IX;;;;cantero_miguel;;;
EXT;1;Carmona López, Magdalena ;Popular ;PP; BADAJOZ;IX;;;;ClMagdalena;;;
EXT;1;Cepeda Bravo, María Felisa ;Popular ;PP; CÁCERES;IX;;;;felisa_cepeda;;;
EXT;1;Chamorro Serrano, Rosa Ana ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;;;;
EXT;1;Correa Zamora, María Auxiliadora ;Popular ;PP; BADAJOZ;IX;;;;;;;
EXT;1;Cortés Luna, Gema María ;Popular ;PP; BADAJOZ;IX;;;;Gema_Cortes;;;
EXT;1;Domínguez Paredes, María Victoria ;Mixto;Agrupación Ciudadanos Partido de la Ciudadanía; CÁCERES;IX;Portavoz;;;VictoriaCsPla;;;
EXT;0;Echávarri Lomo, José Antonio ;Popular ;PP; CÁCERES;IX;;;;;;;
EXT;1;Fernández González, Ana Belén ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;anabelenfergon;;;
EXT;0;Fernández Vara, Guillermo ;Socialista ;PSOE-SIEX; BADAJOZ;IX;Líder de la mayoría;;;GFVara;;;
EXT;0;García Blázquez, Francisco Manuel ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;BlazquezPaco;;;
EXT;0;García Gómez, Valentín ;Socialista ;PSOE-SIEX; BADAJOZ;IX;Portavoz;;;valentingarciag;;;
EXT;1;Garlito Batalla, Lara ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;LaraGarlito;;;
EXT;1;Godoy Tena, María Ascensión ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;AscenGT;;;
EXT;0;González Gracia, Juan Antonio ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;JAGonzalez_78;;;
EXT;1;Gordillo Vaquero, Estrella ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;Estrella_gv;;;
EXT;0;Hernández Carrón, Luis Alfonso ;Popular ;PP; BADAJOZ;IX;;;;LAHCarron;;;
EXT;0;Hierro Fresno, Daniel ;PODEMOS Extremadura;PODEMOS; BADAJOZ;IX;;;;Danihife;;;
EXT;0;Jaén Barbado, Álvaro ;PODEMOS Extremadura;PODEMOS; CÁCERES;IX;Portavoz;;;alvarojaen2015;;;
EXT;0;Labrador Pulido, Carlos Javier ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;LabradorPulido;;;
EXT;0;Lemus Rubiales, Rafael Damián ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;lemusrubiales;;;
EXT;0;López Marroyo, Saturnino ;Popular ;PP; CÁCERES;IX;;;;;;;
EXT;0;Macías Martín, Francisco ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;Fracmac;;;
EXT;1;Macías Mateos, María Teresa ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;MTMacias;;;
EXT;0;Manzano Pedrera, Fernando Jesús ;Popular ;PP; CÁCERES;IX;Vicepresidente parlamento Ex;;;fjmanzanop;;;
EXT;1;Martín Delgado, Blanca ;Socialista ;PSOE-SIEX; CÁCERES;IX;Presidente;;;BlancaMartinDel;;;
EXT;1;Mateos Nogales, María Sol ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;mateosnogales;;;
EXT;0;Mendo Vidal, José Andrés ;Socialista ;PSOE-SIEX; CÁCERES;IX;Vicepresidente primero;;;mendovidal;;;
EXT;1;Miguel Pérez, Irene de ;PODEMOS Extremadura;PODEMOS; CÁCERES;IX;;;;Irenirima;;;
EXT;0;Monago Terraza, José Antonio ;Popular ;PP; BADAJOZ;IX;Líder de la oposició;;;_Jamonago_;Este es un falso perfil, parodia.;;
EXT;0;Moral Agúndez, Víctor Gerardo del ;Popular ;PP; CÁCERES;IX;;;;VGdelMoral;;;
EXT;0;Morales Álvarez, Juan Antonio ;Popular ;PP; BADAJOZ;IX;;;;Juan_A_Morales;;;
EXT;0;Morales Sánchez, Miguel Ángel ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;mamorale44;;;
EXT;0;Moriano Saavedra, Andrés ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;AndresMoriano;;;
EXT;1;Muñoz Marcos, María de los Ángeles ;Popular ;PP; BADAJOZ;IX;;;;MangelesMarian;;;
EXT;0;Pacheco Delgado, Hipólito ;Popular ;PP; BADAJOZ;IX;;;;PPoliPacheco;;;
EXT;1;Paredes Menea, Catalina ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;catyparedes;;;
EXT;0;Parejo Fernández, Juan ;Popular ;PP; BADAJOZ;IX;;;;JuanParejoFdez;;;
EXT;1;Pérez García, María del Pilar ;Popular ;PP; CÁCERES;IX;;;;;;;
EXT;1;Pérez López, Eva María ;Socialista ;PSOE-SIEX; CÁCERES;IX;;;;Perezlopez_Eva;;;
EXT;1;Pérez Zamora, Eva ;Popular ;PP; BADAJOZ;IX;;;;evaperezamora;;;
EXT;0;Ramírez González, Francisco José ;Popular ;PP; CÁCERES;IX;Portavoz Adjunto ;;;pacoramirez79;;;
EXT;0;Redondo Milara, Felipe ;Socialista ;PSOE-SIEX; BADAJOZ;IX;;;;feliperedondom2;;;
EXT;0;Risquete Luengo, Francisco Javier ;Popular ;PP; BADAJOZ;IX;;;;PacoRisquete;;;
EXT;1;Rodríguez Píriz, Consuelo de Fátima ;Popular ;PP; BADAJOZ;IX;;;;ConsueloTikirp;;;
EXT;0;Romero Berro, Jara ;PODEMOS Extremadura;PODEMOS; BADAJOZ;IX;;;;Sonnenroschen;;;
EXT;0;Romero Borrallo, Eugenio ;PODEMOS Extremadura;PODEMOS; BADAJOZ;IX;Secretario primero;;;eugenioromerob;;;
EXT;1;Rosa Romero, Francisca ;Popular ;PP; BADAJOZ;IX;Secretaria segunda;;;F_RosaR;;;
EXT;1;Rubio Díaz, María Inés ;Popular ;PP; CÁCERES;IX;;;;;;;
