Male predictors:
word : coef : odds_ratio
✍ : 2.8117476025791595 : 16.638971133785827
Les : 2.531369598525102 : 12.57071117946906
negociación : 2.463199378276204 : 11.742319629037125
comentarios : 2.285257717349693 : 9.828218800160323
linda : 2.1148746355161103 : 8.28854661161589
SÍ : 2.0833061901308207 : 8.03097700667354
Almansa : 2.0114352768208645 : 7.474036964683505
A_partir_de : 2.0095095865964794 : 7.459658133794359
Jerez : 1.9558119001348522 : 7.069656549342887
urnas : 1.878712764800672 : 6.545074387219724
candidato : 1.8660143732421828 : 6.462487937158101
llamamiento : 1.8559234008117644 : 6.397603075814693
cursos : 1.849734543707096 : 6.358131492546836
actualmente : 1.8255249919687293 : 6.206052291619711
dotación : 1.7545710081113843 : 5.780967221886779
gastronomía : 1.7436315098098907 : 5.718070994612799
quedar : 1.691627334715397 : 5.428307194100175
Orgulloso : 1.6638809644366195 : 5.279761701651046
impulsó : 1.6530067732428282 : 5.222659595741455
electorales : 1.5998762344162352 : 4.952419447379215
radical : 1.5923974531455938 : 4.915519540727996
consultar : 1.5877965123185278 : 4.8929554739590655
León : 1.5794663942376541 : 4.852365869905886
navideñas : 1.5770351662866142 : 4.840582991609748
aprobamos : 1.5694298314122845 : 4.8039083751163805
A_pesar_de : 1.567131366936649 : 4.792879442032847
municipios : 1.557906049133036 : 4.7488669328234865
enseñanza : 1.5452505944316395 : 4.689146553816336
Igual : 1.540301586442122 : 4.6659972603257
Acto : 1.5401150515365272 : 4.665126970139512
presentación : 1.5396411174870193 : 4.662916531465536
llena : 1.5260449326196854 : 4.599947694270708
2019 : 1.5249358783720075 : 4.594848930666621
trae : 1.5231794371931733 : 4.586785432397527
Albacete : 1.5058099660248259 : 4.507803319562241
devolver : 1.4873084492791269 : 4.425168909098789
miles : 1.4743676190318955 : 4.368272486912884
pago : 1.4506745612125753 : 4.265991217012176
libertades : 1.4468992340888025 : 4.249916068226808
leoneses : 1.4422484860980656 : 4.230196670130549
recibir : 1.4068788555726 : 4.083191265408874
in : 1.3993948271118783 : 4.052746612195563
térmicas : 1.3904095248090154 : 4.016494570407736
❄ : 1.3870655314273947 : 4.003085870943107
actuaciones : 1.3832606050704979 : 3.9878833645536016
👍 : 1.376080163203925 : 3.9593511593942736
Respeto : 1.3634142010096806 : 3.909518423277739
