Male predictors:
word : coef : odds_ratio
par : 3.0444847096094425 : 20.999207724552033
calidad : 2.9972256984973815 : 20.02989081315528
😳 : 2.750719280863944 : 15.653887377409363
concertar : 2.659123179718988 : 14.283759316439015
gráfico : 2.5245129707592286 : 12.484813313534001
pecado : 2.486914328287401 : 12.024116342823667
jordi : 2.421032706974449 : 11.257478991057628
aragón : 2.3433035722182636 : 10.41558843814048
psoe-cha : 2.298318515365171 : 9.957425112826801
2000000 : 2.212992241742021 : 9.14303366970562
lleida : 2.175797204323764 : 8.809205060016195
vecin@s : 2.16398001651949 : 8.705717698505042
aguantar : 2.0712827467069577 : 7.934995181302788
válido : 2.051017352640409 : 7.775807822284941
lezo : 1.9772663048026553 : 7.222970571636238
registro : 1.9186338650975094 : 6.811646482021089
clave : 1.917757411345538 : 6.8056790043959
tecnología : 1.9155147792045861 : 6.79043347137048
ambulancia : 1.915113677001693 : 6.7877103597060655
defraudar : 1.8419189017838073 : 6.3086322994524675
afectado : 1.8370097921063686 : 6.277738424334002
anticorrupción : 1.8348596822285617 : 6.2642550974491344
subnormal : 1.8278033834729552 : 6.220208228695402
guardar : 1.8197792723724742 : 6.170496300548011
mentar : 1.811681404067526 : 6.120730205723602
😡 : 1.8023888339611918 : 6.064116342722529
català : 1.7517754821609834 : 5.764828945994108
interí : 1.7446796285456738 : 5.724067353854081
charla : 1.711050073346818 : 5.534770342040326
castillo : 1.706291874251435 : 5.508497358418476
crédito : 1.6818481906426417 : 5.3754817109647535
😆 : 1.660954305812371 : 5.264332230942899
💜 : 1.654826251738681 : 5.232170762624979
cortes : 1.6529367918857876 : 5.222294119723988
relato : 1.6525616487961337 : 5.220335379599716
parada : 1.6435266069194598 : 5.173381863734411
americano : 1.6337170684972666 : 5.122881473287602
humillación : 1.632147642185075 : 5.1148477940919195
extremeño : 1.6199747797679673 : 5.052962878060622
educador : 1.6195519825032936 : 5.050826950741213
anda : 1.6175183202203034 : 5.040565711957246
enfermedad : 1.61141551403431 : 5.009897791719641
ahorro : 1.6112049611399974 : 5.00884305428229
baile : 1.5876549146952927 : 4.892262692142644
valenta : 1.581019506744814 : 4.859907995396401
fraude : 1.5776229477207102 : 4.843429032765553
pelo : 1.5727167791174883 : 4.819724549955915
menorca : 1.561019568017421 : 4.763675661363262
porfavor : 1.5551365494517861 : 4.73573314277523
ls : 1.554372328905579 : 4.732115380766271
plumero : 1.5515227595520178 : 4.718650084059706
elevar : 1.5504421545701277 : 4.713553841279654
murcia : 1.5471473083819205 : 4.6980489634932985
nevada : 1.5423500299277475 : 4.675565088249305
publicidad : 1.5382492245799912 : 4.656430765812038
miedo : 1.5251468750741657 : 4.595818530925538
estudiar : 1.5166088403347509 : 4.556746309999319
vestir : 1.5150872229340222 : 4.5498179580105695
