Male predictors:
word : coef : odds_ratio
PAR : 3.5848647239182436 : 36.04848089175934
Bravo : 3.2242971431587364 : 25.135901005715496
pagando : 3.022426335940569 : 20.541070807691952
calidad : 3.0210603288047233 : 20.513030714234787
collons : 2.845904209717816 : 17.217119519511417
Murcia : 2.7418824858831083 : 15.516166585408648
yendo : 2.61918816053799 : 13.724576907900712
Aragón : 2.5499465856804138 : 12.806419718198192
felicito : 2.3592026688056573 : 10.582510322098447
concertada : 2.26086732264305 : 9.591404402463919
Lleida : 2.210929620503288 : 9.124194489997254
pares : 2.210670638720248 : 9.121831795800016
País : 2.127866578725531 : 8.396933492027296
Lezo : 2.1225637242210804 : 8.352523629024608
defendernos : 2.1148788215291807 : 8.288581307652962
PSOE-CHA : 2.1026136815568104 : 8.187541597480836
gallego : 2.0965753769113786 : 8.138251690518882
😡 : 1.9786023518630271 : 7.232627249687338
prefiero : 1.9751074443683103 : 7.207394006115977
válido : 1.9675491156030205 : 7.153123508174635
notas : 1.9669579687287955 : 7.148896211171641
aguante : 1.9442841774293853 : 6.988627446848421
publicidad : 1.9368142496509186 : 6.936617402034817
así_como : 1.9217035259516986 : 6.83258805189411
izquierdas : 1.9179104872608896 : 6.806720869679293
impresentable : 1.9036758405562695 : 6.710515948867966
paguen : 1.8751560169022734 : 6.521836557696201
Teruel : 1.8732383102035806 : 6.509341572729208
enteras : 1.834816979997691 : 6.263987605493022
ordenador : 1.8320351309800527 : 6.246586352776968
Sanidad : 1.8089120057378818 : 6.10380291573872
💜 : 1.8076176660675833 : 6.095907632176815
ambulancia : 1.7984089370778746 : 6.040029747865408
campo : 1.773309810967354 : 5.890316968888222
Fins : 1.7610169516934688 : 5.818351369057597
Jordi : 1.7527629903598365 : 5.7705245736199
impunidad : 1.7524681258377384 : 5.768823301483968
relato : 1.746668748666384 : 5.735464542831048
promoción : 1.7453910726962378 : 5.728141157060315
fraude : 1.733007049914899 : 5.657641164246327
plumero : 1.7309218528364523 : 5.645856158719433
intervenida : 1.7303234491195658 : 5.642478668061317
vincit : 1.7298872976972548 : 5.640018229565761
canarios : 1.7179563286420327 : 5.573127177615567
huele : 1.7062750898930268 : 5.50840490260043
estudiar : 1.6934188881496766 : 5.4380410132211034
merecemos : 1.6694210800591034 : 5.309093367324231
Menorca : 1.660983255454883 : 5.26448463368504
hablarlo : 1.6577787594585716 : 5.247641614860072
Cristina_Cifuentes : 1.6399123208745996 : 5.154717531295494
notamos : 1.636034171789885 : 5.134765481737533
Miguel_Ángel : 1.606378098110581 : 4.9847243106870565
en_manos_de : 1.598616847962653 : 4.946186363169472
pelo : 1.5919731807749653 : 4.913434463951091
separatistas : 1.589566644647636 : 4.901624322869705
miedo : 1.5834146964631077 : 4.87156234868072
sucedan : 1.5715324719436083 : 4.81401989429436
clarísimo : 1.56552333254544 : 4.785178520389967
existente : 1.5630530473493418 : 4.77337235303432
robar : 1.5587426644401805 : 4.752841569980392
clave : 1.5525595424269134 : 4.723544836618844
bajo : 1.552098910452677 : 4.721369521883583
triste : 1.5484207139152344 : 4.704035295744563
hubieran : 1.548097093129558 : 4.702513218447514
Asamblea : 1.5464275861443386 : 4.694668889684073
subnormal : 1.521653606477788 : 4.5797921109690085
😆 : 1.509684943779426 : 4.5253048442576524
riverita : 1.5008563016807717 : 4.485528391795801
pensamos : 1.4927757137276298 : 4.44942873476619
Dignitat : 1.4687989724352672 : 4.344014725331939
secreto : 1.4538588663670016 : 4.279597085955819
avanzamos : 1.453524895638096 : 4.278168064436562
SIEMPRE : 1.4466214736587155 : 4.2487357736390186
parada : 1.438972401594647 : 4.216360864382185
Joan : 1.4337395045116648 : 4.194354710101008
Vergonzoso : 1.430424543606558 : 4.180473608580878
cargado : 1.3987572115634557 : 4.05016334159608
palos : 1.3873147990007375 : 4.004083834818889
hipócrita : 1.3834647540828324 : 3.988697570110583
constitucional : 1.3817183316534352 : 3.9817376984170374
Veríamos : 1.3729817312009582 : 3.947102364878806
gafas : 1.3714649938592207 : 3.9411201851748343
estudiado : 1.3703251066028164 : 3.9366303119605828
iba : 1.3675933075264344 : 3.9258909045407173
querido : 1.367352748900464 : 3.924946611202519
encontrar : 1.363419270683599 : 3.9095382433115633
dos_millones : 1.3569341722796815 : 3.8842665364127487
Inés : 1.3546307171613559 : 3.8753295996464208
Comparto : 1.347980716027225 : 3.849644152197163
català : 1.34064216777527 : 3.821496759653954
contrari : 1.3364674597403834 : 3.8055763810143843
siguiente : 1.334471813904714 : 3.7979893713673984
volen : 1.3338457640692007 : 3.7956123848798082
Sr : 1.333400832331651 : 3.7939239721084066
ppodrido : 1.3331863265346853 : 3.793110240701314
Feliz_Navidad : 1.3270067214178305 : 3.7697425930293043
Seguiremos : 1.325576326933458 : 3.764354228678783
querría : 1.318190557885618 : 3.736653997406437
lengua : 1.3171485152795182 : 3.732762272760486
baile : 1.3168030253142093 : 3.731472863604152

Female predictors:
word : -coef : odds_ratio
Anna : 2.524280541513956 : 12.481911815007786
Presidenta : 2.4840257155941017 : 11.989433444576552
vendió : 2.273820691074331 : 9.716453552828503
alcaldessa : 2.237344623204263 : 9.368421540526016
Toni : 2.215794669082059 : 9.168692293654411
crecimiento : 2.1480613148961596 : 8.568231182758943
portavoza : 2.122662493291162 : 8.353348640758433
devolver : 2.101223937874181 : 8.176170916265765
autonomía : 1.9907029545616433 : 7.320678058029873
insultado : 1.9719049558819914 : 7.1843493296459435
uso : 1.913816170297331 : 6.778908971172174
guapa : 1.9089106910789222 : 6.745736603790882
tuya : 1.891242534221517 : 6.627598585063963
vds : 1.8282754626580155 : 6.223145352749928
intervención : 1.801363905568124 : 6.057904241727159
compañera : 1.789128043768444 : 5.9842322022331205
salarial : 1.788708729323901 : 5.981723453245327
tampoc : 1.7858177988739872 : 5.9644556787651535
cultural : 1.7112639332291237 : 5.5359541339525515
momentos : 1.6994170339475154 : 5.470757196202931
menys : 1.6892683953915952 : 5.415517238094332
parlamento : 1.6858538929401046 : 5.397057474597554
andaluza : 1.6827281375351486 : 5.380213931137913
celebra : 1.682067020122884 : 5.376658153549081
depende : 1.6559944306612542 : 5.2382864456397025
ganará : 1.653169923826018 : 5.223511745212754
publico : 1.62725515379475 : 5.0898845765612215
puedan : 1.5558107760819413 : 4.738927176803801
liberal : 1.5413923542373236 : 4.671089556621273
populismo : 1.5347093215981844 : 4.639976592929536
Igual : 1.5272477309605992 : 4.605483832487159
descaradamente : 1.5064488700998944 : 4.510684293707776
felices : 1.4960935501904051 : 4.464215728509779
via : 1.4909584292323155 : 4.441350199635108
vividores : 1.4821696941109075 : 4.40248737682971
entès : 1.4521474379344144 : 4.272279125691713
consejos : 1.4472209991030536 : 4.251283762557359
feminismo : 1.4455350645108962 : 4.244122414679314
machista : 1.4350383603233572 : 4.199806111618405
allò : 1.4230008279291397 : 4.149553872780287
valent : 1.4228165088549762 : 4.148789101335412
Suiza : 1.4190550634282473 : 4.133212970292037
vull : 1.4189876116017996 : 4.132934186930423
jefe : 1.4038741164863888 : 4.0709407550278405
capaces : 1.3931206452305258 : 4.027398545175947
Estás : 1.3828448497700518 : 3.9862257255172127
sigui : 1.3746676145935723 : 3.953762331590926
pas : 1.343737307913219 : 3.8333431513257166
Melisa : 1.3330617797779845 : 3.792637850540968
Basta : 1.320751272298109 : 3.7462347627187014
puerto : 1.3180335778613013 : 3.7360674634093263
todavía : 1.3122525952476534 : 3.71453163147177
despres : 1.310812832096174 : 3.7091874338163753
modelo : 1.2976514387963916 : 3.6606892113464498
resolver : 1.2873212803420409 : 3.6230683609635617
Teresa : 1.2833624262125334 : 3.608753515709208
precisamente : 1.2773976878206228 : 3.5872923139232644
miembros : 1.2564802067126446 : 3.513034545005765
cuanto : 1.2479315295243527 : 3.483130747797321
andaluz : 1.2453625838190456 : 3.474194257615464
vale : 1.2450727143862221 : 3.473187340840738
Zorionak : 1.2443110846278238 : 3.4705430651128273
especialmente : 1.2321764837233933 : 3.428683895892914
control : 1.231728192432144 : 3.4271471912333316
Mireia : 1.2258986390863964 : 3.4072265744221424
lleis : 1.2108340261761041 : 3.35628271319613
apoyáis : 1.202988605862595 : 3.330054285670385
dit : 1.1971049629016266 : 3.3105189610054953
FCSE : 1.1967634553458428 : 3.3093885867933994
Menos : 1.1882120201490887 : 3.281209223474796
equiparación : 1.1843220655375393 : 3.268470261579825
empleados : 1.1785379010674697 : 3.2496194626389245
LGTBI : 1.1762720321400497 : 3.2422645866118796
madre : 1.172876402852132 : 3.231273729022021
quin : 1.1654886373801983 : 3.2074897997574032
Humanidad : 1.1558762481061504 : 3.176805868416714
dues : 1.1552465650415824 : 3.1748061172327535
desde_luego : 1.1538703240941854 : 3.1704398242789082
mujer : 1.1529741487812135 : 3.167599827134865
diu : 1.1527108727387858 : 3.166765983758691
Marisol : 1.140196339709831 : 3.127382334250967
present : 1.1398254780868018 : 3.126222723203562
paradas : 1.1224995481566342 : 3.0725245361568603
