Male predictors:
word : coef : odds_ratio
par : 2.1382219668496005 : 8.48433877413215
calidad : 2.0958121648910684 : 8.132042848637129
aragón : 1.6921226633662072 : 5.430996656207642
😡 : 1.5853865327022965 : 4.881177748742965
psoe-cha : 1.577223652756726 : 4.841495462002579
jordi : 1.5398026302083512 : 4.663669712626408
2000000 : 1.4281321876733033 : 4.170901450688627
😳 : 1.346431253090041 : 3.8436838900570947
gráfico : 1.3464145101314462 : 3.8436195359556122
💜 : 1.3373517498027354 : 3.8089431027495344
miedo : 1.2798835278967469 : 3.5962208417704127
murcia : 1.277686658129339 : 3.588329084681442
lleida : 1.268689286090442 : 3.5561883607568587
concertar : 1.2650935210693308 : 3.543424105425166
bajo : 1.2620033841523566 : 3.532491340354667
eternamente : 1.251455858694936 : 3.4954281043342412
anticorrupción : 1.251022920185877 : 3.4939151264390564
aguantar : 1.250460857577938 : 3.4919518791767956
triste : 1.2254544192380552 : 3.405713352876395
valenta : 1.2215171887104317 : 3.3923306370018507
sr : 1.2139099367341584 : 3.3666222321952497
bravo : 1.2027194104165646 : 3.329157970868993
siguiente : 1.2019487284823127 : 3.3265932373883973
tecnología : 1.1984470067636106 : 3.314964805248806
felicitar : 1.1895246937069786 : 3.285519208242994
rubio : 1.1852422698951828 : 3.2714793064131107
notar : 1.1847170251297598 : 3.26976143022446
riverita : 1.1818291123551978 : 3.2603322662751553
ahorrar : 1.1759712464823446 : 3.2412895065781377
separatista : 1.1758032674615693 : 3.240745083667867
enfermedad : 1.1541930269152245 : 3.171463099252118
ahorro : 1.1530980549132748 : 3.1679923364940192
estudiar : 1.1529993945526156 : 3.167679796645436
😠 : 1.1502941957191173 : 3.1591221732099175
fins : 1.1500344057095278 : 3.1583015714269322
orgullo : 1.133834175242977 : 3.1075485732156896
guardar : 1.1193183997735867 : 3.0627659097456394
bloquear : 1.106732945056617 : 3.0244611550588574
pecado : 1.102914485378036 : 3.012934393331891
humillación : 1.0997273659899491 : 3.0033470977551042
mentar : 1.0995266843831721 : 3.0027444417068323
alcorcon : 1.0994075033518484 : 3.0023865928522895
recurrir : 1.098969451259524 : 3.001071679144701
elevar : 1.0969790169018638 : 2.9951041838887065
‘ : 1.088445079418578 : 2.9696529062971955
afectado : 1.0815371319077394 : 2.949209392551561
plumero : 1.0757359889908185 : 2.932150136805366
son : 1.0724108301962458 : 2.922416463963396
preferir : 1.0706766712620173 : 2.9173529211058886
paro : 1.0669122278018157 : 2.9063913560216523
pablo : 1.065577990401149 : 2.9025161257869185
publicidad : 1.0579211441724872 : 2.880376872727307
impunidad : 1.0573265904135178 : 2.8786648428277175
gallego : 1.0552423631410215 : 2.8726712991771515
encontrar : 1.0528311877535772 : 2.865753128657319
educador : 1.0520799846763567 : 2.8636011744670187
seguiremos : 1.0485741333661682 : 2.8535793922416315
exigir : 1.0427988907825096 : 2.8371467758662803
pelo : 1.0392250676918349 : 2.827025411961752
asamblea : 1.0318206740138374 : 2.8061703078561306
pobreza : 1.0308014427977403 : 2.803311628555743
aclarar : 1.0281778256567842 : 2.7959664517947442
parada : 1.0276632143985767 : 2.794527986138136
fernando : 1.0247735850372872 : 2.7864644918841406
puc : 1.0174148853719076 : 2.766034996011144
leve : 1.0123254347319788 : 2.7519931603552457
manifestar : 1.0087115649502358 : 2.7420657643959676
baile : 1.0064778805954475 : 2.7359476904650113
en_manos_de : 1.0020241484980563 : 2.7237896069396554
basket : 0.9997500273414667 : 2.717602417244394
🌸 : 0.9969060036937863 : 2.709884471916467
encima_de : 0.9921331369459981 : 2.6969813713146653
majo : 0.9894796946430316 : 2.6898345728556254
miseria : 0.9892105972453891 : 2.689110842753292
fraude : 0.9833831020210225 : 2.673485634292123
cuál : 0.9827520938811241 : 2.671799175235638
americano : 0.9807426872598892 : 2.6664358346529857
feliz_navidad : 0.9778981128762664 : 2.658861737231126
vergonzoso : 0.9770718642337065 : 2.6566657636650035
palo : 0.9754174571851666 : 2.652274190826178
😊 : 0.9693582287923455 : 2.6362520456820184
fué : 0.9675459354187512 : 2.6314787102170856
telefónico : 0.9616830862895602 : 2.616095885206309
municipio : 0.9614977267408557 : 2.6156110117930065
marco : 0.9586822280320146 : 2.608257119661252
juan : 0.9582787824376577 : 2.6072050420596815
👎 : 0.9580510113964351 : 2.606611263877875
alternativo : 0.9558933091300361 : 2.600993036257142
relato : 0.9540001813158594 : 2.596073681948178
comparto : 0.948635870878215 : 2.5821848221821835
català : 0.9463526007268722 : 2.5762957224137852
ahí : 0.9450651644450003 : 2.5729810400069537
aixo : 0.9445286569867143 : 2.571600986726503
som : 0.9441744828695041 : 2.570690353488093
espereu : 0.9429096122244071 : 2.5674408182764252
tranquilo : 0.9424373776509737 : 2.566228670188435
