Male predictors:
word : coef : odds_ratio
PAR : 1.9158865116643942 : 6.792958165134194
calidad : 1.8925064580799449 : 6.635980661076771
Aragón : 1.7394427103429113 : 5.694169236662321
😡 : 1.6847969875617814 : 5.391356308852609
Bravo : 1.6577745368194667 : 5.247619456010165
Vergonzoso : 1.5580257654940104 : 4.7494354839231905
Murcia : 1.4282673664186125 : 4.1714653060233085
miedo : 1.4273237104181697 : 4.167530734489633
triste : 1.411717749813156 : 4.102997277057701
canarios : 1.3971997789998867 : 4.04386039480143
persona : 1.3695192691349014 : 3.9334593055873457
bajo : 1.3691807732910115 : 3.932128071281645
pagando : 1.3591927622354942 : 3.8930494165263707
encontrar : 1.294713416909022 : 3.6499498103434416
💜 : 1.2880701202063902 : 3.625782475075105
Lleida : 1.265395548791613 : 3.5444944793699733
felicito : 1.2292855409000474 : 3.418786080692927
Jordi : 1.2267685077689994 : 3.410191703563286
campo : 1.2038205117090175 : 3.3328257299300446
izquierdas : 1.1918627429383664 : 3.2932099010082765
impresentable : 1.1858339809668248 : 3.273415649760765
defendernos : 1.1752699681890826 : 3.2390172574376184
impunidad : 1.1601399229787392 : 3.190379652310573
lengua : 1.1579879560413928 : 3.1835214427480074
PSOE-CHA : 1.1550194243142662 : 3.17408507135474
Feliz_Navidad : 1.1284107222003825 : 3.090740549414213
gobernando : 1.1192292095128848 : 3.0624927530373203
CUP : 1.1169861587299836 : 3.0556311246373635
mentira : 1.1126911319263344 : 3.0425352507515644
vergüenza : 1.1096483141630542 : 3.033291441191304
riverita : 1.0990747515021049 : 3.0013877093592543
Fins : 1.0913310296419436 : 2.9782355553575637
Seguiremos : 1.0769869088913175 : 2.935820316834774
en_manos_de : 1.0611721466662924 : 2.889756223008345
Mil : 1.0601411743044533 : 2.886778499449069
😠 : 1.045573309675051 : 2.8450291389144944
valenta : 1.0437535011390253 : 2.839856438691803
Sanidad : 1.0411424996497787 : 2.8324512409992058
estudiar : 1.0409793133658503 : 2.83198906151848
palabras : 1.0355358568567017 : 2.8166151338433894
cargado : 1.0309815597955634 : 2.8038165981056755
plumero : 1.0308263382496454 : 2.803381419134297
Pues : 1.0112775578564812 : 2.7491109207408386
País : 1.0102232307425099 : 2.7462139859845713
enteras : 1.0049882276439595 : 2.731875112030146
intervenida : 0.9995768169125588 : 2.7171317409283025
Verdad : 0.9968958669874285 : 2.709857002752535
paro : 0.993538271339005 : 2.700773656307876
huele : 0.9902495627402574 : 2.6919061880129718
🌸 : 0.9855675597366612 : 2.6793321340044174
dignitat : 0.9775137646719109 : 2.65784000485987
gallego : 0.966456691568488 : 2.628613948710052
orgullo : 0.9591666894908086 : 2.609521025842549
baile : 0.955945723135648 : 2.6011293682935634
ahí : 0.9527022114571613 : 2.5927062424483034
tendrás : 0.9519073158546251 : 2.5906461305529316
explican : 0.9510315790869622 : 2.588378399597021
Comparto : 0.9510198273705197 : 2.5883479818867534
paguen : 0.9495622567711351 : 2.5845780301202494
yendo : 0.9482873915883248 : 2.581285141018215
separatistas : 0.9422263409053903 : 2.565687158782868
parada : 0.941162633672975 : 2.5629594697844054
Abusadores : 0.94056552568284 : 2.5614295630118398
Alcorcon : 0.9401252355553245 : 2.560302039099957
ladrón : 0.9382008216730947 : 2.5553796961448745
😗 : 0.9377684065949283 : 2.5542749503054143
Fernando : 0.9375459797415037 : 2.553706874145475
entender : 0.9345791081024682 : 2.5461415818211295
querido : 0.9327415116068581 : 2.5414670971967146
palos : 0.9282928849989817 : 2.530186169965988
plural : 0.9282836424723551 : 2.530162784761011
digo : 0.9272064128126832 : 2.5274386858689555
dos_millones : 0.9270492014828153 : 2.527041375103686
enfermedad : 0.9254239643384223 : 2.5229376692463363
fué : 0.9244728264577194 : 2.5205391485012543
puc : 0.9215669504692872 : 2.513225405872772
notamos : 0.9182373911581143 : 2.504871388138034
subnormal : 0.9136924797562846 : 2.4935128010440804
