Male predictors:
word : coef : odds_ratio
juan : 3.2501264323495866 : 25.793600856605202
canarias : 2.695486212507029 : 14.812719131993871
canario : 2.583240323819893 : 13.239970518670873
imposición : 2.2648109159641 : 9.629303681359303
suceder : 2.2186251023037507 : 9.194680426408995
visitar : 2.0937803285164827 : 8.115536642810909
primario : 2.0357963896623463 : 7.658348727278139
cuadrar : 2.0322837970664933 : 7.631495258500565
concesionario : 1.9038501833677703 : 6.711685981075502
isla : 1.8832622372300065 : 6.574918859518294
sergio : 1.82872880700938 : 6.225967220133806
m._rajoy : 1.8115904559845588 : 6.120173562358239
javier : 1.718636816155486 : 5.576920911718769
hundir : 1.7102891116088978 : 5.530560195665171
sexista : 1.7012099694933291 : 5.480574709697014
quitanieves : 1.7002979406309786 : 5.475578546048542
ojala : 1.696021912560537 : 5.452214806087034
triunfo : 1.6596433220502884 : 5.257435298740788
[??:29/12/2017:??.??:??] : 1.6513926382544086 : 5.214236318137769
temprano : 1.6054396105126791 : 4.980048403226292
matar : 1.575668825697928 : 4.833973622947987
alcalde : 1.5677131266153652 : 4.795668557255894
divertir : 1.5539314936746513 : 4.730029757331534
amar : 1.5531163881323617 : 4.726175854743195
david : 1.5465149340002105 : 4.695078976855473
aragón : 1.5419378096973513 : 4.673638122925726
leonés : 1.5377367942695848 : 4.654045280798939
sixena : 1.5365193228522858 : 4.648382561493658
ud. : 1.534075554929836 : 4.637036862073133
quejar : 1.5210709431245861 : 4.577124411201583
i : 1.5060490177103245 : 4.508881046354749
meta : 1.4926532331241829 : 4.448883799422448
majo : 1.488418421004561 : 4.430083448463454
entregar : 1.480969066717063 : 4.3972048017207985
abrazar : 1.469432340809183 : 4.346766958371465
incansable : 1.4576369505441797 : 4.29579634580572
brazo : 1.4163963295887931 : 4.122238452727643
pegar : 1.416193355119975 : 4.1214018284769125
cadena : 1.3957451887028118 : 4.037982510701402
incumbir : 1.3943368568816945 : 4.03229969402352
cs : 1.3638016862138516 : 3.9110335973570036
als : 1.3494595208731186 : 3.855341236023754
contribuir : 1.3294427996989193 : 3.7789371759002095
estas : 1.3227246637224928 : 3.753634849505585
sostener : 1.3092553501914947 : 3.7034149379529544
compañer@s : 1.3059579845124738 : 3.6912235354435206
buena : 1.2848690759721701 : 3.614194741307564
a_cambio_de : 1.2801016583425802 : 3.597005372587861
arrimadas : 1.2798574256093267 : 3.596126973405469
diálogo : 1.267400713112238 : 3.5516089036457803
asistencia : 1.2654981321168397 : 3.54485810405051
avisar : 1.2574139391847239 : 3.5163163113434353
razonamiento : 1.2558028563753183 : 3.5106557955859756
populismo : 1.2521132671499728 : 3.4977267838268826
financiar : 1.2469873879683984 : 3.4798437312621275
operativo : 1.2461915579624214 : 3.4770754688839163
maravilloso : 1.2358862064558669 : 3.4414269845325376
león : 1.2080539425119068 : 3.3469649245700452
catalunya : 1.2054033650128169 : 3.3381052814231205
repartir : 1.1907585115081547 : 3.289575442140455
eduardo : 1.1829513308547772 : 3.2639931252167598
cena : 1.1684366987356212 : 3.2169596284434028
dañar : 1.164358192105658 : 3.203865956734153
estupidez : 1.1640905251781246 : 3.2030085025384696
castillo : 1.1638456411926503 : 3.2022242330822945
pulsar : 1.1580893849570337 : 3.1838443602521744
ánimo : 1.1565651556382444 : 3.1789951479264533
dejo : 1.153179239442727 : 3.1682495389014527
extremeño : 1.151083273268793 : 3.161615949355471
