Male predictors:
word : coef : odds_ratio
Juan : 3.1414614600618593 : 23.137656922811043
matado : 2.4188130943074055 : 11.232519458584623
Presidente : 2.3702362520339806 : 10.699919863357575
físico : 2.3699071205164395 : 10.696398761979886
Canarias : 2.3625394541933917 : 10.617880867047177
asesinos : 2.249977391026333 : 9.487521330813726
señor : 2.1919979803136638 : 8.953083340835601
Alcalde : 2.092607490654963 : 8.106024013645916
quitanieves : 2.018507876497452 : 7.527085209472248
positivo : 2.0112476055339688 : 7.472634434159507
cataluña : 1.996223538529382 : 7.36120423711147
Ánimo : 1.854435484912198 : 6.388091058774651
Sixena : 1.841448230398622 : 6.305663705420394
Miguel : 1.8164622357564197 : 6.150062447035699
contrario : 1.7900370351054546 : 5.989674290494436
leoneses : 1.7798769658066318 : 5.929126888369397
cadenas : 1.7652369365126483 : 5.842956603851609
dificil : 1.7471956037864431 : 5.7384870978457325
organización : 1.739441812860004 : 5.694164126245053
necesiten : 1.7279859520432879 : 5.629304793616647
M._Rajoy : 1.711584310529716 : 5.537728012134169
isla : 1.6898240767215922 : 5.418527376177128
creciendo : 1.677987674794707 : 5.354769584100028
tengamos : 1.6575404390162085 : 5.2463911436014055
matar : 1.618247149469266 : 5.044240762759017
David : 1.5832118701710405 : 4.870574367950584
estupendo : 1.5538754851555403 : 4.7297648427882795
i : 1.5532199366940105 : 4.726665268793676
catalanes : 1.5378344406848354 : 4.654499753825493
cafés : 1.5105391057420825 : 4.529171838809759
Aragón : 1.497388431262938 : 4.4700001011894495
ladrón : 1.4972884763514689 : 4.469553325054175
exige : 1.4854178304021395 : 4.416810504993399
actor : 1.4762401964971905 : 4.376460079091936
asistencia : 1.4743995925248115 : 4.368412158075175
pone : 1.4245535646349747 : 4.156002042250564
León : 1.416447045344331 : 4.122447520466749
canarias : 1.409047632486127 : 4.09205640614025
demócratas : 1.4063394954381205 : 4.080989548631361
obra : 1.397516998855657 : 4.045143391097816
dependencia : 1.3917138183178612 : 4.021736676083289
matando : 1.3873720196674866 : 4.004312957720857
canarios : 1.3794636912226177 : 3.972770424405236
pedimos : 1.3700954825349845 : 3.935726470670628
CLM : 1.3618504272992373 : 3.903409598801353
Pepe : 1.3555904944051989 : 3.8790508383029847
honesto : 1.3429087600225482 : 3.8301683583590984
breve : 1.342753810587063 : 3.8295749219116653
vestidos : 1.3386111683819004 : 3.813743178477932
jefe : 1.3187925648578078 : 3.738904166406293
izquierdas : 1.3134727127789583 : 3.71906656264784
Arrimadas : 1.3045776087729402 : 3.6861317751057223
quite : 1.2915028648064328 : 3.6382502473833056
motor : 1.2907905794894632 : 3.6356596978673514
súper : 1.2895313485409627 : 3.6310844439128367
urgencia : 1.2854963273515965 : 3.6164624610853924
cena : 1.2704541659795507 : 3.5624701477458607
PROGRAMA : 1.2699159504566808 : 3.5605532869009866
orgulloso : 1.2600148528693356 : 3.5254738503789564
comisiones : 1.2509280017722169 : 3.4935835052965176
carretera : 1.2508541887914757 : 3.4933256430014326
🔴 : 1.2492895394903667 : 3.4878640872994358
fuerzas : 1.2435156639777667 : 3.467783621096791
Salamanca : 1.218066208609164 : 3.3806439483399666
mayor : 1.2145594230850243 : 3.3688095176127053
paga : 1.212930515815183 : 3.363326506169713
majo : 1.209396871628736 : 3.351462680628082
conocer : 1.2058812311786877 : 3.3397008301942517
Catalunya : 1.1976513960077497 : 3.3123284324967766
Estas : 1.1969137594210897 : 3.309886038768163
electoral : 1.1879068877870218 : 3.280208173088203
común : 1.1867396374930128 : 3.276381582862507
Javier : 1.1829663665213794 : 3.264042201898132
nacionalismo : 1.1772312600215715 : 3.2453761493128934
cuotas : 1.1766498332425137 : 3.2434897491664905
firmado : 1.1763792378427411 : 3.2426121944976396
próximos : 1.1762391396541698 : 3.2421579422236544
come : 1.1674805233366603 : 3.213885120905715
Cs : 1.1633298400693968 : 3.200572948129888
ineptos : 1.1559777163368101 : 3.177128229641766
tonto : 1.150438162632908 : 3.159577015019783
Nada : 1.1439303780034744 : 3.139081929420122
rato : 1.141152496436857 : 3.1303740319458546
diálogo : 1.1345034090077757 : 3.1096289456967456
ingresos : 1.1334484256117616 : 3.106350068675791
viaje : 1.121194523000238 : 3.0685174295996673
carga : 1.1142712779529407 : 3.0473467011348245
Mil : 1.1018140515000612 : 3.009620681847939
él : 1.09737778353995 : 2.996298769679484
incansable : 1.0958000570765847 : 2.991575157082553
turismo : 1.0921595558012565 : 2.9807041239193746
payaso : 1.082828354759201 : 2.9530199387156806
matamos : 1.081708344887084 : 2.949714378707229
tendrían : 1.0747445728634042 : 2.9292445964095304
coche : 1.0638052509528222 : 2.8973752789885943
Cantabria : 1.0629461035386474 : 2.8948870755295935
ud. : 1.0497729885914373 : 2.857002472285453
Ellos : 1.048991711801851 : 2.8547712342867904
encima : 1.043961807178208 : 2.8404480595553543
trabajan : 1.042894754015864 : 2.83741876696648

Female predictors:
word : -coef : odds_ratio
Carla : 3.4359819988049787 : 31.061900342614553
lidere : 3.0912670122857993 : 22.004940851139988
Marta : 3.002001511683234 : 20.125778618681114
Cristina : 2.9763212761305087 : 19.615523658229176
aumentado : 2.8919696039644918 : 18.02878421948174
Isabel : 2.8680098318647365 : 17.60195247313484
huelga : 2.847572650780809 : 17.245869245646833
hablado : 2.8053373075911723 : 16.532651554527064
festivos : 2.7998175788433417 : 16.441647193213782
Presidenta : 2.7875476256442973 : 16.241141564511164
compañera : 2.7782195918735875 : 16.090348044451204
maestros : 2.6283052757455585 : 13.850277599886097
desaparecen : 2.6110099432398086 : 13.612792059058233
consejo : 2.4871452193337777 : 12.02689292415937
hablamos : 2.4402406373497194 : 11.475801917119915
Lorena : 2.357906240436987 : 10.568799744816113
territorios : 2.343095935005092 : 10.41342599889284
afecto : 2.3255029755372307 : 10.231825149513362
parlamentarios : 2.317441354734238 : 10.149671645162675
fines : 2.3128162174328724 : 10.102836413419862
conocimiento : 2.208405888672116 : 9.101196502512185
boxeo : 2.146912049419313 : 8.558389666803455
machismo : 2.12506452915249 : 8.373437801538854
aclarar : 2.1196250229864284 : 8.328014088270995
XD : 2.1071628919635157 : 8.224873297417767
Teresa : 2.1046710214002453 : 8.204403492405708
Pensar : 2.081337900331239 : 8.015185263012928
violan : 2.019904878964637 : 7.537607914491673
rubia : 1.9939499752535703 : 7.344487084445451
prostitución : 1.988854607637457 : 7.307159402689609
tarjeta : 1.9675807904218254 : 7.153350085654027
traigan : 1.9116058710249992 : 6.7639421003311435
c's : 1.905153168968888 : 6.72043691119795
Marisol : 1.9013206599532402 : 6.694730068465396
merecen : 1.8967307383139478 : 6.6640721944979004
abre : 1.8694895497295307 : 6.484985291784565
especialmente : 1.861630406474372 : 6.434218615962604
Hemos : 1.8524994198564535 : 6.375735263573991
especial : 1.8260882687683915 : 6.209549001608424
traidores : 1.7978291571250251 : 6.036528874669096
verbo : 1.7889352799227605 : 5.983078769793963
El_Liberal_de_Castilla : 1.7769275298184324 : 5.911665072059572
defensor : 1.7669903543183818 : 5.853210735260055
tenerte : 1.7614888404844475 : 5.821097631764964
niñxs : 1.7591290272273594 : 5.807377123688284
Beatriz : 1.7552043379107778 : 5.784629640334669
debates : 1.7544477390669537 : 5.78025465150129
machistas : 1.7428515696925946 : 5.713612980368616
guapa : 1.7339160506825706 : 5.662786302520879
Tranquila : 1.7014388409415777 : 5.4818292003211235
Zorionak : 1.6906081692334873 : 5.422777669011923
niñas : 1.67014801136113 : 5.312954116558044
origen : 1.6610301788354636 : 5.264731666896839
Gallardón : 1.6341135732471714 : 5.1249131228776985
empleados : 1.631017041200147 : 5.109068209955572
veremos : 1.6307325068715457 : 5.10761471145759
inocentada : 1.6148846227620002 : 5.027307853111268
andaluces : 1.5951902805629636 : 4.929266926574345
casita : 1.584380471430802 : 4.8762694542871525
