"","name","proportion_male"
"1","Aaron",0.996
"2","Ab",1
"3","AB",1
"4","Abdel",1
"5","Abdellah",1
"6","Abdo",1
"7","Abdon",1
"8","abdou",1
"9","Abdul",1
"10","Abe",1
"11","Abel",0.998
"12","ABEL",0.998
"13","abel",0.998
"14","Abelardo",1
"15","abelardo",1
"16","ABELARDO",1
"17","Aben",1
"18","abi",0.0814
"19","Abigail",0.0015
"20","Abisai",1
"21","Abner",1
"22","Abraham",0.9981
"23","abraham",0.9981
"24","ABRAHAM",0.9981
"25","Abril",0.001
"26","Abuk",0
"27","ac",1
"28","AC",1
"29","ACE",0.9982
"30","ace",0.9982
"31","Ace",0.9982
"32","achai",1
"33","Ada",0.0033
"34","ada",0.0033
"35","ADA",0.0033
"36","Adalberto",1
"37","Adam",0.9979
"38","adam",0.9979
"39","Adama",0.3705
"40","Adan",0.9962
"41","ADDA",0
"42","Ade",0.9375
"43","ADE",0.9375
"44","ADEA",0
"45","Adela",0
"46","ADELA",0
"47","adela",0
"48","adelaida",0
"49","Adelia",0
"50","Adelina",0
"51","Adelita",0
"52","Adil",1
"53","Adilson",1
"54","ADN",0
"55","Adna",0
"56","Adnan",1
"57","Adolfo",1
"58","adolfo",1
"59","ADOLFO",1
"60","Adonis",0.9974
"61","Adri",0.1297
"62","adri",0.1297
"63","Adria",0
"64","adria",0
"65","Adrian",0.9731
"66","adrian",0.9731
"67","Adriana",0.0014
"68","ADRIANA",0.0014
"69","adriana",0.0014
"70","Adriano",1
"71","Adriel",0.9374
"72","Adrien",0.9206
"73","Advaita",0
"74","AEMON",1
"75","Aeris",0
"76","Afonso",1
"77","africa",0
"78","Africa",0
"79","Afrika",0
"80","Afrodita",0
"81","Agapito",1
"82","Agata",0
"83","Agent",1
"84","Agnes",0
"85","Agueda",0
"86","Agustin",1
"87","agustin",1
"88","AGUSTIN",1
"89","agustina",0
"90","Agustina",0
"91","AGUSTINA",0
"92","Ahmed",1
"93","Ai",0
"94","Aicha",0
"95","Aida",0
"96","aida",0
"97","AiDan",0.9788
"98","Ailyn",0
"99","Aimar",0.4685
"100","aimar",0.4685
"101","Aimee",0
"102","AIMEN",0.4279
"103","aina",0
"104","Aina",0
"105","Ainara",0
"106","AINARA",0
"107","Aine",0
"108","Ainhoa",0
"109","AINHOA",0
"110","Airam",0.0992
"111","Airin",0
"112","AISA",0.0234
"113","Aitana",0
"114","AITANA",0
"115","aitor",1
"116","Aitor",1
"117","AITOR",1
"118","AJ",0.9778
"119","AJAE",0.1562
"120","AKELA",0
"121","Akira",0.1098
"122","Akram",1
"123","Al",1
"124","al",1
"125","AL",1
"126","ALA",0.1106
"127","Alabama",0
"128","alac",1
"129","aladin",1
"130","Alaia",0
"131","Alain",1
"132","alain",1
"133","Alaina",0
"134","Alan",0.9967
"135","ALAN",0.9967
"136","Alana",5e-04
"137","Aland",1
"138","ALANNA",0
"139","Alaric",1
"140","Alaska",0
"141","Alayn",1
"142","Alazne",0
"143","Alba",0
"144","alba",0
"145","albany",0
"146","Alber",1
"147","alber",1
"148","Albert",0.9994
"149","albert",0.9994
"150","ALBERT",0.9994
"151","aLbErT",0.9994
"152","Alberta",0
"153","Alberth",1
"154","Alberto",0.9987
"155","alberto",0.9987
"156","ALBERTO",0.9987
"157","albi",1
"158","albin",1
"159","Albino",1
"160","alda",0
"161","Alda",0
"162","aldo",1
"163","Aldo",1
"164","Ale",1
"165","ale",1
"166","Alea",0
"167","Alec",0.9959
"168","aleda",0
"169","Aleja",0
"170","Alejandra",0.0035
"171","ALEJANDRA",0.0035
"172","Alejandro",0.9965
"173","ALEJANDRO",0.9965
"174","alejandro",0.9965
"175","Alejo",1
"176","Alekos",1
"177","alekos",1
"178","Aleks",1
"179","Aleksander",1
"180","Aleksandr",1
"181","Aleksei",1
"182","Aleli",0
"183","Alem",1
"184","Alen",1
"185","Alena",0
"186","Alessa",0
"187","Alessandra",0
"188","alessandra",0
"189","Alessandro",1
"190","Alessia",0
"191","Alessio",1
"192","alessio",1
"193","Aletheia",0
"194","Alethia",0
"195","Alex",0.9644
"196","alex",0.9644
"197","ALEX",0.9644
"198","Alexander",0.9967
"199","alexander",0.9967
"200","Alexandra",0.0022
"201","alexandra",0.0022
"202","ALEXANDRA",0.0022
"203","alexandre",0.9971
"204","Alexandre",0.9971
"205","Alexandria",0.0013
"206","Alexandro",1
"207","Alexandru",1
"208","Alexei",0.8872
"209","Alexey",0.9328
"210","Alexia",0.0013
"211","alexia",0.0013
"212","Alexis",0.1672
"213","alexis",0.1672
"214","AlexS",1
"215","Alezia",0
"216","Alfa",0.1806
"217","Alfonso",1
"218","alfonso",1
"219","ALFONSO",1
"220","Alfred",1
"221","alfred",1
"222","Alfredo",1
"223","alfredo",1
"224","ALFREDO",1
"225","ALGERNON",1
"226","Ali",0.7303
"227","ALI",0.7303
"228","Alias",1
"229","alias",1
"230","Alice",3e-04
"231","Alicia",4e-04
"232","ALICIA",4e-04
"233","alicia",4e-04
"234","AliciA",4e-04
"235","Alida",0
"236","Alika",0.3882
"237","Alim",1
"238","Alin",0.2068
"239","Alina",0
"240","Aline",0
"241","Alis",0.0314
"242","Alison",0.0032
"243","Alistair",1
"244","Alita",0
"245","Alix",0.2492
"246","alix",0.2492
"247","Allan",1
"248","Allegra",0
"249","Allen",0.9957
"250","allen",0.9957
"251","Ally",8e-04
"252","Alma",0.0136
"253","alma",0.0136
"254","ALMA",0.0136
"255","Almendra",0
"256","Almudena",0
"257","almudena",0
"258","ALMUDENA",0
"259","Aloha",0
"260","Alonso",1
"261","alonso",1
"262","Alonzo",1
"263","ALOYSIUS",1
"264","ALP",1
"265","Alpha",0.886
"266","Alta",0
"267","Altagracia",0
"268","Alter",1
"269","ALTER",1
"270","ALVARO",0.9988
"271","Alvaro",0.9988
"272","alvaro",0.9988
"273","Alverto",1
"274","Alvin",1
"275","ALVIN",1
"276","Aly",0.2889
"277","Ama",0
"278","AMA",0
"279","ama",0
"280","Amada",0
"281","Amadeo",1
"282","amadeo",1
"283","Amadeus",1
"284","Amado",1
"285","amador",1
"286","Amador",1
"287","AMADOR",1
"288","Amadou",1
"289","Amaia",0
"290","AMAIA",0
"291","Amairani",0
"292","Amal",0.0966
"293","AMALIA",0
"294","Amalia",0
"295","amalia",0
"296","Amalio",1
"297","Aman",0.9294
"298","Amancio",1
"299","Amanda",0.0016
"300","amanda",0.0016
"301","AMANDO",1
"302","Amando",1
"303","Amar",0.9412
